id;long;lat;fonte
13;-46.63224732490979;-23.55165315487958;hid
117;-46.60832753095311;-23.607498028325303;rota
282;-46.55289716562504;-23.60273926017073;rota
307;-46.66977845639741;-23.628056976815646;rota
382;-46.65827142723876;-23.618496670662505;rota
536;-46.57562657131694;-23.511321616998163;rota
575;-46.587262503095516;-23.49165058856561;rota
808;-46.63203428275749;-23.551220054879856;hid
842;-46.66291396256838;-23.55535081163555;hid
935;-46.52590840415504;-23.506224969930887;rota
1195;-46.716547909692;-23.586007893484844;rota
1640;-46.51807276044412;-23.514549880706678;rota
1770;-46.511889457142814;-23.544661293483326;rota
1841;-46.48076046417271;-23.50071783901651;rota
2453;-46.63661065567627;-23.550707209762383;hid
2491;-46.636553447185015;-23.556752510665273;hid
2789;-46.641885951945106;-23.55514972809375;hid
3770;-46.6701787225173;-23.65369952305337;rota
3917;-46.45124994209019;-23.62174047349247;hid
4304;-46.5723143751099;-23.535850447177328;hid
17902;-46.71106432426359;-23.437708643460052;hid
