ID;Ultima manutenção;REGIAO;DISTRITO;BAIRRO;TIPO;END;ULTIMAVISTORIA;VAZAO;SITUACAO;LAT;LONG;PROCESSO2014;DATAEXTRACAO;SABESP_POLOMANUT;SABESP_UGR;SABESP_UN
864;20/09/2021;LESTE;CIDADE TIRADENTES;CIDADE TIRADENTES;COLUNA;RUA ANTONIO CARLOS MINGUES LOPES DEFRONTE COM  A RUA CACHOEIRA DO SOL ;2022-04-08;SECO;INOPERANTE;-23.5808278644695;-46.3981487635126;0;2022-07-28;ITAQUERA;ITAQUERA;LESTE
2162;23/09/2021;OESTE;LAPA;LAPA;SUBTERRANEO;RUA ROMA ESQUINA COM A RUA SCIPIAO;2022-05-12;SECO;INOPERANTE;-23.5229303564173;-46.698991878141;0;2022-07-28;LAPA;JARDINS;CENTRO
10048;15/10/2021;NORTE;FREGUESIA DO Ó;FREGUESIA DO Ó;BICA;AVENIDA ITABERABA 166 NO INTERIO DO PREDIO DA SABESP;2022-04-06;SECO;INOPERANTE;-23.4995922532915;-46.6979750820566;0;2022-07-28;FREGUESIA DO Ó;FREGUESIA DO Ó;NORTE
734;20/10/2021;CENTRO;REPÚBLICA;SANTA IFIGÊNIA;SUBTERRANEO;RUA GENERAL OSORIO PROXIMO A ESQUINA COM A AVENIDA RIO BRANCO;2022-05-09;SECO;INOPERANTE;-23.5372459098607;-46.6415656937684;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2099;20/10/2021;CENTRO;SÉ;PARQUE DOM PEDRO;SUBTERRANEO;RUA MAUA ESQUINA COM A ZVIELA AGUIAR ANDRADE;2022-05-09;FRACA;INOPERANTE;-23.5366610797681;-46.630846173976;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2090;21/10/2021;CENTRO;SÉ;PARQUE DOM PEDRO;SUBTERRANEO;RUA PAULA SOUSA 208;2022-05-09;MÉDIA;POSSIVEL DE USO;-23.5383942087013;-46.6309741624948;0;2022-07-28;SÉ;IPIRANGA;CENTRO
3784;25/10/2021;SUL;MOEMA;BANDEIRANTES;BICA;ALAMEDA DOS ANAPURUS ESQUINA COM A AVENIDA DOS IMARES     SABESP    BICA DE ENCHIMENTO RAPIDO;2022-04-12;EXCELENTE;POSSIVEL DE USO;-23.613746738002;-46.6639611989843;1;2022-07-28;LAPA;JARDINS;CENTRO
3140;27/10/2021;LESTE;TATUAPÉ;PARQUE SÃO JORGE;COLUNA;RUA ANTONIO DE BARROS ESQUINA COM A  AVENIDA CELSO GARCIA;2021-12-09;MÉDIA;POSSIVEL DE USO;-23.531748668959;-46.5602549641901;1;2022-07-28;MOOCA;MOÓCA;CENTRO
3280;29/10/2021;LESTE;TATUAPÉ;GOMES CARDIM;SUBTERRANEO;RUA PLATINA ESQUINA COM RUA APUCARANA;2021-12-16;SECO;INOPERANTE;-23.5397054699448;-46.5650505192312;0;2022-07-28;MOOCA;MOÓCA;CENTRO
4284;29/10/2021;CENTRO;BELA VISTA;MASP;COLUNA;AVENIDA NOVE DE JULHO ESQUINA COM A RUA BARATA RIBEIRO;2021-12-23;SECO;INOPERANTE;-23.5559624575316;-46.6506586109628;1;2022-07-28;LAPA;JARDINS;CENTRO
5645;03/11/2021;CENTRO;BELA VISTA;TREZE DE MAIO;SUBTERRANEO;RUA PAIM 108;2022-06-26;SECO;INOPERANTE;-23.5548779148971;-46.649751863554;0;2022-07-28;LAPA;JARDINS;CENTRO
4375;04/11/2021;SUL;JABAQUARA;CIDADE VARGAS;SUBTERRANEO;AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA ESQUINA COM A RUA BOTELHO;2022-04-30;EXCELENTE;POSSIVEL DE USO;-23.6372230457679;-46.6410883339792;0;2022-07-28;SANTO AMARO;SANTO AMARO;SUL
15064;05/11/2021;NORTE;PERUS;PERUS;COLUNA;ESTRADA SAO PAULO JUNDIAI PROXIMO A ESQUINA COM A RUA FREI MARCOS DE LISBOA;2022-07-20;EXCELENTE;POSSIVEL DE USO;-23.4171751466907;-46.7559271275851;0;2022-07-28;PIRITUBA;PIRITUBA;NORTE
6735;09/11/2021;SUL;SANTO AMARO;CHÁCARA FLORA;SUBTERRANEO;RUA CANNA ESQUINA COM A RUA ALCATRAZES;2021-12-28;EXCELENTE;POSSIVEL DE USO;-23.6444114599383;-46.6804821486116;0;2022-07-28;SANTO AMARO;SANTO AMARO;SUL
1823;10/11/2021;LESTE;TATUAPÉ;PARQUE SÃO JORGE;SUBTERRANEO;AVENIDA CELSO GARCIA ESQUINA COM RUA ANTONIO  MARCEDO;2021-12-16;FRACA;INOPERANTE;-23.5327416250777;-46.5633723198046;0;2022-07-28;MOOCA;MOÓCA;CENTRO
897;11/11/2021;LESTE;CIDADE TIRADENTES;CIDADE TIRADENTES;COLUNA;RUA ROBERTO GARCIA MORILLO PROXIMO DA ESQUINA COM A RUA RICARDO DA COSTA;2022-04-26;SECO;INOPERANTE;-23.5861859996051;-46.392731;0;2022-07-28;ITAQUERA;ITAQUERA;LESTE
1920;11/11/2021;LESTE;BRÁS;BRÁS;COLUNA;RUA PIRATININGA ESQUINA COM A RUA CAMPO SALES;2022-05-22;MÉDIA;INOPERANTE;-23.5490642576173;-46.6185273415236;0;2022-07-28;SÉ;IPIRANGA;CENTRO
905;16/11/2021;LESTE;BRÁS;GASÔMETRO;COLUNA;RUA CORONEL FRANCISCO AMARO ESQUINA COM A AVENIDA RANGEL PESTANA;2022-04-29;SECO;INOPERANTE;-23.5436201278646;-46.618122292768;0;2022-07-28;SÉ;IPIRANGA;CENTRO
10049;16/11/2021;OESTE;VILA LEOPOLDINA;EMISSÁRIO;BICA;RUA MAJOR PALADINO 196 NO INTERIOR DO PREDIO DA SABESP ;2021-12-12;EXCELENTE;POSSIVEL DE USO;-23.5224692753999;-46.7404813280213;0;2022-07-28;LAPA;JARDINS;CENTRO
10050;17/11/2021;OESTE;JAGUARA;VILA JAGUARA;BICA;RUA PRESGRAVE DO AMARAL 636 NO INTERIOR DO PREDIO DA SABESP;2022-04-06;EXCELENTE;POSSIVEL DE USO;-23.5121000939368;-46.752622542247;0;2022-07-28;PIRITUBA;PIRITUBA;NORTE
3866;23/11/2021;SUL;SAÚDE;SAÚDE;COLUNA;AVENIDA JABAQUARA DEFRONTE A RUA PAN AMERICA;2022-02-10;SECO;INOPERANTE;-23.6255200068547;-46.6410265096191;0;2022-07-28;LAPA;JARDINS;CENTRO
2588;30/11/2021;CENTRO;SÉ;PARQUE DOM PEDRO;COLUNA;RUA CARLOS DE SOUSA NAZARE ESQUINA COM A RUA VINTE E CINCO DE MARCO;2022-06-24;EXCELENTE;INOPERANTE;-23.5407070851222;-46.6322761068382;1;2022-07-28;SÉ;IPIRANGA;CENTRO
2752;30/11/2021;CENTRO;BELA VISTA;TREZE DE MAIO;SUBTERRANEO;RUA SANTO ANTONIO ESQUINA COM A RUA SAO VICENTE;2021-12-19;FRACA;POSSIVEL DE USO;-23.5563345938893;-46.6481569799347;0;2022-07-28;LAPA;JARDINS;CENTRO
5614;01/12/2021;CENTRO;SANTA CECÍLIA;SANTA CECÍLIA;COLUNA;ALAMEDA BARAO DE PIRACICABA AO LADO DO POSTO DE BOMBEIRO CAMPOS ELISEOS;2022-07-18;EXCELENTE;POSSIVEL DE USO;-23.5351688085136;-46.641993030454;0;2022-07-28;SÉ;IPIRANGA;CENTRO
1756;09/12/2021;LESTE;TATUAPÉ;CHÁCARA DO PIQUERI;SUBTERRANEO;RUA SANTA CATARINA ESQUINA COM RUA SANTA VIRGINIA;2021-12-12;FRACA;POSSIVEL DE USO;-23.5309893767239;-46.5707223774606;0;2022-07-28;MOOCA;MOÓCA;CENTRO
4424;10/12/2021;LESTE;VILA PRUDENTE;VILA ZELINA;BICA;RUA PARAMU 716  SABESP BICO DE ENCHIMENTO RAPIDO;2022-04-30;EXCELENTE;POSSIVEL DE USO;-23.5945066642181;-46.5660516634094;0;2022-07-28;MOOCA;MOÓCA;CENTRO
1800;14/12/2021;OESTE;PINHEIROS;PINHEIROS;COLUNA;AVENIDA REBOUCAS EM FRENTE AO SHOPPING ELDORADO;2022-05-18;SECO;INOPERANTE;-23.5736712462371;-46.6959689241595;0;2022-07-28;LAPA;JARDINS;CENTRO
10057;17/12/2021;OESTE;JAGUARÉ;PARQUE CONTINENTAL;BICA;AVENIDA LEAO MACHADO NO INTERIOR DO PREDIO DA SABESP   BICA DE ENCHIMENTO RAPIDO;2021-12-29;EXCELENTE;POSSIVEL DE USO;-23.5486649263852;-46.7555139712345;0;2022-07-28;BUTANTA;BUTANTÃ;OESTE
5526;20/12/2021;LESTE;PONTE RASA;BURGO PAULISTA;COLUNA;ESTRADA DE MOGI DAS CRUZES ESQUINA COM A AVENIDA AGUIA DE HAIA;2022-01-21;EXCELENTE;POSSIVEL DE USO;-23.5168988553642;-46.4765750148237;0;2022-07-28;PENHA;SÃO MIGUEL PAULISTA;LESTE
2328;21/12/2021;SUL;MOEMA;PARQUE IBIRAPUERA;SUBTERRANEO;RUA DO LEAO DENTRO DO PARQUE IBIRAPUERA;2021-12-29;EXCELENTE;POSSIVEL DE USO;-23.5897335238805;-46.6540059550575;0;2022-07-28;LAPA;JARDINS;CENTRO
2755;22/12/2021;CENTRO;BELA VISTA;TREZE DE MAIO;SUBTERRANEO;RUA DOUTOR LUIS BARRETO ESQUINA COM A RUA SAO VICENTE;2021-12-24;SECO;INOPERANTE;-23.5563183006579;-46.6472920705375;0;2022-07-28;LAPA;JARDINS;CENTRO
1830;28/12/2021;LESTE;TATUAPÉ;PARQUE SÃO JORGE;SUBTERRANEO;RUA MELO PEIXOTO ESQUINA COM RUA VILELA;2022-01-17;MÉDIA;POSSIVEL DE USO;-23.5379464372545;-46.5671533717262;0;2022-07-28;MOOCA;MOÓCA;CENTRO
691;29/12/2021;CENTRO;CONSOLAÇÃO;VILA BUARQUE;COLUNA;RUA JAGUARIBE ESQUINA COM RUA DONA VERIDIANA;2022-07-27;SECO;INOPERANTE;-23.5417659839105;-46.6508103026909;0;2022-07-28;SÉ;IPIRANGA;CENTRO
1796;30/12/2021;LESTE;PONTE RASA;BURGO PAULISTA;SUBTERRANEO;RUA MANOEL BRAS FILHO ESQUINA COM A RUA SARGENTO IGUATEMI AZEVEDO;2022-01-24;SECO;INOPERANTE;-23.5184439659006;-46.4902010447545;0;2022-07-28;PENHA;SÃO MIGUEL PAULISTA;LESTE
4215;03/01/2022;SUL;SANTO AMARO;GRANJA JULIETA;SUBTERRANEO;TRAVESSA FRANCISCO VINAS NO FINAL DA RUA;2022-02-16;EXCELENTE;POSSIVEL DE USO;-23.6287715226843;-46.6932328330539;0;2022-07-28;SANTO AMARO;SANTO AMARO;SUL
200;06/01/2022;CENTRO;SÉ;SÉ;SUBTERRANEO;RUA QUINZE DE NOVEMBRO 233  EM FRENTE AO BANCO BRADESCO;2022-02-25;MÉDIA;POSSIVEL DE USO;-23.5469799053984;-46.6344176165656;0;2022-07-28;SÉ;IPIRANGA;CENTRO
1436;12/01/2022;LESTE;TATUAPÉ;GOMES CARDIM;SUBTERRANEO;RUA ITAPURA PROXIMO A RUA SANTE COLOMBARA;2022-01-17;MÉDIA;POSSIVEL DE USO;-23.551538480527;-46.5650660469851;0;2022-07-28;MOOCA;MOÓCA;CENTRO
4005;13/01/2022;SUL;MOEMA;BANDEIRANTES;COLUNA;ALAMEDA DOS GUARAMOMIS ESQUINA COM AVENIDA MIRUNA;2022-02-04;EXCELENTE;POSSIVEL DE USO;-23.6149379726256;-46.6610020937004;1;2022-07-28;LAPA;JARDINS;CENTRO
